gene_id	SRX026871	SRX1149649	SRX1900396	SRX2255510	SRX3110803
ENSMUSG00000001819	0	0	0	1	0
ENSMUSG00000001827	0	1	0	1	0
ENSMUSG00000001829	1	1	1	1	1
ENSMUSG00000001833	1	1	1	1	1
ENSMUSG00000001844	1	1	1	0	1
ENSMUSG00000001847	1	1	1	1	1
ENSMUSG00000001855	1	1	1	1	1
ENSMUSG00000001864	0	1	0	1	0
ENSMUSG00000001865	1	1	0	0	0
ENSMUSG00000001870	1	1	1	1	0
ENSMUSG00000001891	1	1	1	1	1
ENSMUSG00000001901	0	1	0	0	0
ENSMUSG00000001909	1	1	1	1	1
ENSMUSG00000001910	1	1	0	1	1
ENSMUSG00000001911	1	1	1	0	1
ENSMUSG00000001918	1	1	1	1	1
ENSMUSG00000001924	1	1	1	1	1
ENSMUSG00000001930	1	1	1	1	1
ENSMUSG00000001942	1	1	1	1	1
ENSMUSG00000001943	0	1	0	0	0
ENSMUSG00000001946	1	1	1	1	1
ENSMUSG00000001948	0	1	1	1	0
ENSMUSG00000001962	1	1	1	1	1
ENSMUSG00000001964	1	1	1	1	1
ENSMUSG00000001983	1	1	1	1	1
ENSMUSG00000001985	0	1	0	1	0
ENSMUSG00000001986	1	1	0	1	1
ENSMUSG00000001988	0	1	0	0	0
ENSMUSG00000001995	1	1	0	1	0
ENSMUSG00000001998	1	1	1	1	1
ENSMUSG00000001999	1	1	1	1	1
ENSMUSG00000002006	0	1	0	1	0
ENSMUSG00000002007	0	1	0	0	0
ENSMUSG00000002010	1	1	1	1	1
ENSMUSG00000002012	0	1	0	1	0
ENSMUSG00000002014	1	1	1	1	1
ENSMUSG00000002015	1	1	1	1	1
ENSMUSG00000002017	1	1	1	1	1
ENSMUSG00000002020	0	0	1	0	1
ENSMUSG00000002028	1	1	1	1	0
ENSMUSG00000002031	1	1	1	1	1
ENSMUSG00000002032	0	1	1	1	0
ENSMUSG00000002033	0	0	0	0	1
ENSMUSG00000002043	1	1	1	1	1
ENSMUSG00000002052	1	1	1	1	1
ENSMUSG00000002055	1	1	1	1	1
ENSMUSG00000002058	1	1	1	1	1
ENSMUSG00000002059	0	1	1	1	1
ENSMUSG00000002064	1	1	1	1	1
ENSMUSG00000002068	1	1	1	1	1
ENSMUSG00000002076	0	1	0	1	0
ENSMUSG00000002083	1	1	0	1	1
ENSMUSG00000002100	0	0	0	1	0
ENSMUSG00000002102	1	1	1	1	1
ENSMUSG00000002103	1	1	1	1	1
ENSMUSG00000002104	1	1	0	1	0
ENSMUSG00000002105	1	1	1	1	1
ENSMUSG00000002107	1	1	1	1	1
ENSMUSG00000002108	1	1	1	0	1
ENSMUSG00000002109	1	1	1	1	1
ENSMUSG00000002111	1	1	1	1	1
ENSMUSG00000002129	1	1	1	1	1
ENSMUSG00000002147	1	1	1	1	1
ENSMUSG00000002190	0	1	0	1	0
ENSMUSG00000002204	1	1	0	1	0
ENSMUSG00000002205	1	1	1	1	1
ENSMUSG00000002210	1	1	1	1	1
ENSMUSG00000002221	1	1	0	1	1
ENSMUSG00000002222	1	1	1	1	1
ENSMUSG00000002227	1	1	1	1	1
ENSMUSG00000002233	1	1	1	1	1
ENSMUSG00000002249	0	1	1	0	1
ENSMUSG00000002250	0	1	1	1	0
ENSMUSG00000002257	1	1	0	1	1
ENSMUSG00000002265	0	1	1	1	1
ENSMUSG00000002274	1	1	0	1	0
ENSMUSG00000002279	1	1	1	1	1
ENSMUSG00000002280	1	1	1	1	1
ENSMUSG00000002289	1	1	1	0	1
ENSMUSG00000002297	1	1	1	1	0
ENSMUSG00000002307	1	1	0	1	0
ENSMUSG00000002308	1	1	1	1	1
