gene_id	SRX026871	SRX1149649	SRX1900396	SRX2255510	SRX3110803
ENSMUSG00000005566	1	1	0	1	0
ENSMUSG00000005575	1	1	0	1	0
ENSMUSG00000005580	0	1	0	0	1
ENSMUSG00000005583	1	1	0	0	0
ENSMUSG00000005609	1	0	0	0	0
ENSMUSG00000005610	1	1	1	1	1
ENSMUSG00000005615	0	0	0	1	1
ENSMUSG00000005621	1	1	0	1	0
ENSMUSG00000005674	1	1	0	1	1
ENSMUSG00000005677	0	0	1	0	1
ENSMUSG00000005682	1	0	0	1	0
ENSMUSG00000005687	0	0	0	1	0
ENSMUSG00000005698	1	1	1	0	1
ENSMUSG00000005699	1	0	0	0	0
ENSMUSG00000005705	0	0	0	1	0
ENSMUSG00000005718	0	0	0	1	0
ENSMUSG00000005732	0	1	0	0	0
ENSMUSG00000005774	0	0	0	1	0
ENSMUSG00000005800	1	0	0	0	0
ENSMUSG00000005802	0	1	0	0	0
ENSMUSG00000005803	1	0	0	0	1
ENSMUSG00000005871	1	1	0	1	1
ENSMUSG00000005886	0	1	0	1	0
ENSMUSG00000005893	0	1	0	1	0
ENSMUSG00000005899	1	1	0	1	1
ENSMUSG00000005907	1	0	0	0	0
ENSMUSG00000005936	1	0	0	1	1
ENSMUSG00000005949	1	1	0	0	0
ENSMUSG00000005982	1	0	0	0	1
ENSMUSG00000005983	1	0	0	0	0
ENSMUSG00000006010	1	1	1	0	1
ENSMUSG00000006019	1	1	0	1	0
ENSMUSG00000006050	0	1	0	0	0
ENSMUSG00000006057	1	1	0	1	0
ENSMUSG00000006095	0	1	0	1	0
ENSMUSG00000006127	0	0	0	1	0
ENSMUSG00000006134	1	1	0	1	1
ENSMUSG00000006191	0	0	0	1	1
ENSMUSG00000006215	0	1	0	1	0
ENSMUSG00000006219	0	0	0	1	0
ENSMUSG00000006241	0	1	0	0	0
ENSMUSG00000006262	1	0	0	0	0
ENSMUSG00000006301	0	0	0	1	0
ENSMUSG00000006310	0	0	0	1	0
ENSMUSG00000006333	1	1	0	0	0
ENSMUSG00000006335	1	1	1	0	0
ENSMUSG00000006344	0	1	0	0	0
ENSMUSG00000006345	0	0	0	1	0
ENSMUSG00000006356	0	1	0	0	0
ENSMUSG00000006386	0	1	0	1	0
ENSMUSG00000006390	1	1	1	1	1
ENSMUSG00000006398	1	0	0	0	0
ENSMUSG00000006418	0	1	0	0	0
ENSMUSG00000006476	0	1	1	0	1
ENSMUSG00000006522	0	1	0	0	0
ENSMUSG00000006527	1	1	0	1	1
ENSMUSG00000006575	0	1	0	0	0
ENSMUSG00000006576	0	1	0	0	0
ENSMUSG00000006599	1	1	0	1	1
ENSMUSG00000006611	1	0	0	0	0
ENSMUSG00000006641	0	1	0	1	1
ENSMUSG00000006673	1	1	1	1	1
ENSMUSG00000006676	0	1	1	1	1
ENSMUSG00000006699	1	1	1	0	1
ENSMUSG00000006705	1	1	0	1	1
ENSMUSG00000006715	1	0	0	1	1
ENSMUSG00000006728	1	1	0	1	1
ENSMUSG00000006731	0	1	0	1	1
ENSMUSG00000006740	1	0	0	1	1
ENSMUSG00000006800	0	1	0	1	0
ENSMUSG00000006818	0	0	0	0	1
ENSMUSG00000006920	0	1	0	1	0
ENSMUSG00000006932	1	1	1	1	1
ENSMUSG00000006941	1	1	0	0	0
ENSMUSG00000007029	1	0	0	1	1
ENSMUSG00000007039	0	1	0	0	1
ENSMUSG00000007041	1	0	0	0	1
ENSMUSG00000007379	0	0	0	1	0
ENSMUSG00000007411	1	0	0	0	0
ENSMUSG00000007458	1	1	1	1	1
ENSMUSG00000007476	0	1	0	1	1
ENSMUSG00000007564	1	0	0	0	0
ENSMUSG00000007570	1	1	0	1	1
ENSMUSG00000007589	1	0	0	0	1
ENSMUSG00000007617	0	1	0	1	1
ENSMUSG00000007653	0	1	0	0	0
ENSMUSG00000007659	1	1	1	1	1
ENSMUSG00000007682	1	0	0	0	0
ENSMUSG00000007739	1	0	1	1	1
ENSMUSG00000007783	0	1	0	1	0
ENSMUSG00000007812	0	0	0	1	0
ENSMUSG00000007815	1	0	0	1	0
ENSMUSG00000007817	1	0	0	1	1
ENSMUSG00000007827	0	1	0	1	0
ENSMUSG00000007836	1	0	0	0	0
ENSMUSG00000007837	0	1	1	1	1
ENSMUSG00000007880	0	0	0	1	0
ENSMUSG00000007989	0	1	0	1	0
ENSMUSG00000008035	1	1	1	1	1
ENSMUSG00000008129	0	1	0	0	0
ENSMUSG00000008140	1	1	0	1	0
ENSMUSG00000008153	0	1	0	0	0
ENSMUSG00000008206	0	1	0	0	0
ENSMUSG00000008305	1	1	1	1	1
ENSMUSG00000008384	1	1	0	1	0
ENSMUSG00000008398	1	0	0	0	1
ENSMUSG00000008429	1	1	1	0	1
ENSMUSG00000008450	0	0	0	1	0
ENSMUSG00000008489	0	1	0	0	0
ENSMUSG00000008540	0	0	1	0	1
ENSMUSG00000008601	0	0	0	1	0
ENSMUSG00000008682	0	1	0	0	0
ENSMUSG00000008683	0	1	0	0	0
ENSMUSG00000008690	1	1	0	1	0
ENSMUSG00000008730	1	1	0	0	0
ENSMUSG00000008763	1	1	0	1	1
ENSMUSG00000008855	1	1	1	1	1
ENSMUSG00000008859	1	1	0	0	0
ENSMUSG00000008976	1	0	0	1	1
ENSMUSG00000008999	0	1	0	0	0
ENSMUSG00000009013	1	0	1	0	1
ENSMUSG00000009030	1	0	0	1	1
ENSMUSG00000009035	1	0	0	0	0
ENSMUSG00000009073	1	1	1	1	0
ENSMUSG00000009079	1	0	0	1	0
ENSMUSG00000009090	1	1	1	0	1
ENSMUSG00000009112	0	0	0	0	1
ENSMUSG00000009207	1	1	0	0	1
ENSMUSG00000009216	0	0	0	1	0
ENSMUSG00000009291	0	1	1	0	0
ENSMUSG00000009292	0	1	0	0	0
ENSMUSG00000009376	1	0	1	0	1
ENSMUSG00000009378	0	1	0	0	0
ENSMUSG00000009535	1	1	0	1	1
ENSMUSG00000009566	0	0	1	0	0
ENSMUSG00000009575	0	1	0	1	0
ENSMUSG00000009585	0	0	0	1	0
ENSMUSG00000009614	0	0	1	0	1
ENSMUSG00000009621	1	1	1	1	0
ENSMUSG00000009630	1	0	0	1	1
ENSMUSG00000009633	1	0	0	0	0
ENSMUSG00000009681	0	1	0	0	0
ENSMUSG00000009687	1	0	0	0	0
ENSMUSG00000009731	0	1	0	1	0
ENSMUSG00000009741	0	0	0	1	0
ENSMUSG00000009828	0	0	1	0	1
ENSMUSG00000009863	0	1	0	1	0
ENSMUSG00000009894	1	1	1	1	1
ENSMUSG00000009907	0	0	1	0	0
ENSMUSG00000009995	0	0	0	1	0
ENSMUSG00000010045	1	1	1	1	1
ENSMUSG00000010047	0	1	1	1	1
ENSMUSG00000010048	1	0	1	1	1
ENSMUSG00000010057	1	0	0	0	0
ENSMUSG00000010064	0	1	1	0	1
ENSMUSG00000010080	0	1	0	0	0
ENSMUSG00000010095	1	1	1	1	1
ENSMUSG00000010097	1	0	1	1	1
ENSMUSG00000010110	1	1	1	1	1
ENSMUSG00000010175	0	1	1	0	1
ENSMUSG00000010277	0	1	0	1	1
ENSMUSG00000010342	0	0	0	1	0
ENSMUSG00000010358	1	0	1	1	0
ENSMUSG00000010453	0	1	0	0	0
ENSMUSG00000010517	0	0	0	0	1
ENSMUSG00000010554	1	1	0	1	0
ENSMUSG00000010601	0	0	0	0	1
ENSMUSG00000010607	1	1	1	1	1
ENSMUSG00000010608	0	0	0	1	1
ENSMUSG00000010936	1	0	0	1	0
ENSMUSG00000011096	0	0	0	1	0
ENSMUSG00000011114	1	1	1	0	0
ENSMUSG00000011158	0	0	0	1	0
ENSMUSG00000011179	1	1	0	1	0
ENSMUSG00000011257	1	0	0	0	0
ENSMUSG00000011305	0	0	0	0	1
ENSMUSG00000011427	1	1	1	1	1
ENSMUSG00000011658	0	1	0	0	0
ENSMUSG00000011752	1	0	0	0	0
ENSMUSG00000011832	0	1	0	0	0
ENSMUSG00000011958	1	1	0	0	0
ENSMUSG00000011960	1	0	0	1	0
ENSMUSG00000012117	1	1	1	0	0
ENSMUSG00000012296	0	0	0	1	0
ENSMUSG00000012396	0	0	0	1	0
ENSMUSG00000012405	1	1	0	1	0
ENSMUSG00000012443	0	0	0	1	0
ENSMUSG00000012519	1	0	0	1	0
ENSMUSG00000012535	0	1	1	0	1
ENSMUSG00000012609	1	1	1	1	1
ENSMUSG00000012848	1	0	1	0	1
ENSMUSG00000013033	0	1	0	1	0
ENSMUSG00000013076	0	0	0	1	0
ENSMUSG00000013236	0	1	0	1	0
ENSMUSG00000013275	0	1	0	1	1
ENSMUSG00000013415	0	0	0	1	0
ENSMUSG00000013419	0	1	0	0	0
ENSMUSG00000013495	1	0	1	1	1
ENSMUSG00000013646	1	1	1	1	1
ENSMUSG00000013663	1	1	0	1	1
ENSMUSG00000013698	0	0	0	1	0
ENSMUSG00000013846	0	0	1	0	0
ENSMUSG00000013858	0	0	0	1	0
ENSMUSG00000013878	0	1	0	0	0
ENSMUSG00000013973	1	1	1	1	1
ENSMUSG00000014074	1	1	1	0	0
ENSMUSG00000014077	0	0	1	1	1
ENSMUSG00000014164	0	1	0	0	0
ENSMUSG00000014195	0	0	0	1	0
ENSMUSG00000014226	0	0	1	0	0
ENSMUSG00000014313	1	1	1	1	1
ENSMUSG00000014349	0	1	0	0	1
ENSMUSG00000014355	1	1	0	1	1
ENSMUSG00000014418	0	0	0	1	1
ENSMUSG00000014543	1	0	0	0	0
ENSMUSG00000014547	1	1	0	0	0
ENSMUSG00000014550	1	1	0	1	1
ENSMUSG00000014599	1	0	0	1	0
ENSMUSG00000014602	0	1	0	1	0
ENSMUSG00000014606	0	0	0	1	0
ENSMUSG00000014633	1	0	0	0	0
ENSMUSG00000014668	0	0	1	1	1
ENSMUSG00000014763	0	1	0	0	1
ENSMUSG00000014767	1	1	0	1	0
ENSMUSG00000014773	0	1	0	0	0
ENSMUSG00000014791	0	0	0	0	1
ENSMUSG00000014837	1	1	0	1	0
ENSMUSG00000014846	0	1	0	0	0
ENSMUSG00000014905	0	0	1	0	0
ENSMUSG00000014932	0	0	0	1	1
ENSMUSG00000014956	1	1	0	1	1
ENSMUSG00000015002	0	0	0	1	1
ENSMUSG00000015087	1	1	0	1	0
ENSMUSG00000015090	0	1	0	0	0
ENSMUSG00000015120	1	1	1	1	1
ENSMUSG00000015133	1	0	0	1	0
ENSMUSG00000015165	0	0	0	1	0
ENSMUSG00000015176	0	0	0	1	0
ENSMUSG00000015202	0	0	0	1	1
ENSMUSG00000015214	1	0	0	0	1
ENSMUSG00000015217	0	0	0	1	0
ENSMUSG00000015222	0	1	0	1	0
ENSMUSG00000015289	0	0	1	1	1
ENSMUSG00000015290	1	1	0	1	0
ENSMUSG00000015291	0	1	0	0	0
ENSMUSG00000015305	0	0	0	1	0
ENSMUSG00000015312	1	0	0	0	0
ENSMUSG00000015341	1	1	0	1	1
ENSMUSG00000015342	1	0	0	0	0
ENSMUSG00000015354	0	1	0	1	0
ENSMUSG00000015357	0	0	1	1	1
ENSMUSG00000015363	1	0	0	0	1
ENSMUSG00000015474	1	1	0	1	1
ENSMUSG00000015478	0	1	0	0	0
ENSMUSG00000015484	0	1	0	0	0
ENSMUSG00000015501	0	1	0	0	1
ENSMUSG00000015542	1	1	0	0	0
ENSMUSG00000015599	0	1	0	0	0
ENSMUSG00000015605	0	1	0	1	0
ENSMUSG00000015653	0	1	0	1	1
ENSMUSG00000015656	0	0	0	1	0
ENSMUSG00000015668	0	0	0	1	0
ENSMUSG00000015709	0	1	0	0	0
