baseMean log2FoldChange lfcSE stat pvalue padj
ENSG00000143537.13 1226.46450083494 -8.51379033357822 1.08725447961104 -7.83054058937887 4.85776673124748e-15 1.21772067535546e-12
ENSG00000180879.13 501.704051319942 -8.50595773846613 1.08710587768658 -7.82440598754493 5.1005952913843e-15 1.24740656065147e-12
ENSG00000101361.15 897.115422202167 -8.40739961362927 1.07566080043311 -7.81603234983004 5.45143704088271e-15 1.30146569545074e-12
ENSG00000078747.13 314.792771659493 -8.64538114166919 1.10765726167794 -7.80510491898251 5.94520643385434e-15 1.38633918400599e-12
ENSG00000136830.11 680.586041345806 -8.70856762989756 1.11846715642606 -7.78616303560031 6.90748060589783e-15 1.57412063716676e-12
ENSG00000180182.10 402.744183906725 -8.65333058723167 1.11231244914059 -7.7795862070208 7.27621492117858e-15 1.6213023781035e-12
ENSG00000153132.12 326.129800846013 -8.69169491294512 1.12119367659203 -7.752179747717 9.03284049183017e-15 1.96896286112133e-12
ENSG00000143149.12 263.004512294162 -8.3757733729855 1.08368785407665 -7.72895381403166 1.08434002774563e-14 2.31333562940542e-12
ENSG00000084073.8 344.357193661915 -8.65360343362848 1.1210236520217 -7.71937632004664 1.16900289701565e-14 2.3921616425257e-12
ENSG00000088812.17 339.386778801016 -8.59401784257524 1.1129606067016 -7.7217628286456 1.14731730577816e-14 2.3921616425257e-12
ENSG00000146918.19 647.007939024396 -8.80344536550697 1.14102029708932 -7.71541521913685 1.20588998217297e-14 2.41829177024968e-12
ENSG00000101126.15 483.037365794217 -8.52566494352198 1.10617701082416 -7.70732428905739 1.284830242187e-14 2.47749862277097e-12
ENSG00000145495.14 351.312879532137 -8.92386778668276 1.15768395910563 -7.70837992225178 1.27424933264053e-14 2.47749862277097e-12
ENSG00000117868.15 386.51701804245 -8.36532123572307 1.0873804904592 -7.69309483581999 1.43617978660624e-14 2.71708956986806e-12
ENSG00000175931.12 420.372478905156 -8.87720674807195 1.15439909169092 -7.68989408599493 1.47256878026522e-14 2.7343420666147e-12
ENSG00000101444.12 881.472129166946 -10.0841528001302 1.31239197963557 -7.68379642409152 1.54442019871245e-14 2.81561842408905e-12
ENSG00000170242.17 294.608604472194 -8.3072349076824 1.08390478000268 -7.66417406855782 1.79985653992615e-14 3.22270741532848e-12
ENSG00000198730.7 309.06608540805 -8.37466856040829 1.09463367603341 -7.65065861188863 1.99952535079718e-14 3.51741064779707e-12
ENSG00000196305.17 711.655181205194 -9.23336453479103 1.20827307930376 -7.64178619299503 2.14228713202501e-14 3.70357121945083e-12
ENSG00000126432.13 629.412117198527 -9.02964143347892 1.18274580108631 -7.63447346436194 2.26745184194535e-14 3.85351518969255e-12
ENSG00000096401.7 324.085520964135 -8.52376676858347 1.11711530687395 -7.63015842333748 2.34465403503754e-14 3.91830766822024e-12
ENSG00000120800.4 426.540552632805 -8.71028211840964 1.14306357248967 -7.62012046227496 2.53439088150371e-14 4.1659569457111e-12
ENSG00000283472.1 280.166918393472 -8.44144224771104 1.1087845573079 -7.61323937285584 2.67310053578956e-14 4.32309339876805e-12
ENSG00000132356.11 274.832455881504 -8.66107948707172 1.13866310146653 -7.60635825988981 2.81927101654954e-14 4.48711594967337e-12
ENSG00000254692.1 449.47354151069 -8.6218147586347 1.13599772517192 -7.58964086598841 3.20793357080301e-14 5.02592967413152e-12
ENSG00000176105.13 279.981003952205 -8.38359589414343 1.10545393780976 -7.58384913871117 3.35451186262378e-14 5.17472160715825e-12
ENSG00000068654.15 308.732319640918 -8.41016233412676 1.1103043921456 -7.57464564998669 3.60109180312335e-14 5.47093144089664e-12
ENSG00000095319.14 356.699492358852 -8.20574100645385 1.0837451859221 -7.57165163273327 3.68508592962266e-14 5.51497859945171e-12
ENSG00000112893.9 257.49461306753 -8.75632336639606 1.15730519931048 -7.56613153696452 3.84502720388005e-14 5.66971879019195e-12
ENSG00000151693.9 258.702320026966 -8.16294086201153 1.07994397753783 -7.55867066421563 4.07209473447229e-14 5.91752085544255e-12
ENSG00000065833.8 294.010647875811 -8.40755983196663 1.11568732955865 -7.53576706414021 4.85472515309269e-14 6.95404701572292e-12
ENSG00000170779.10 349.824674826119 -8.48636641766031 1.12940628987944 -7.51400668980353 5.73446523056048e-14 8.09851871363802e-12
ENSG00000139613.11 260.778071872717 -8.14381094814633 1.08528704184156 -7.5038313682688 6.19790281024804e-14 8.63144048310515e-12
ENSG00000138778.11 444.189540536438 -9.38264954792718 1.25136591267756 -7.49792642813087 6.48352714316198e-14 8.9055242006144e-12
ENSG00000138768.14 357.313542043018 -8.58133109431882 1.14776789786286 -7.47653868896074 7.6305685782241e-14 1.03394204234937e-11
ENSG00000182117.5 361.58645929375 -8.4935760526275 1.13637294665277 -7.47428568908267 7.76243381482091e-14 1.03778565148279e-11
ENSG00000106443.15 295.49151222848 -8.10137297778949 1.08692560176604 -7.45347516391769 9.09131190903983e-14 1.19945505936766e-11
ENSG00000154229.11 210.134215651511 -8.41336345638534 1.13012901962273 -7.44460438613809 9.72353624363884e-14 1.26620646642814e-11
ENSG00000124789.11 433.36730668364 -8.38225327472307 1.12897413410134 -7.42466370267669 1.1306682310417e-13 1.45348850675065e-11
ENSG00000157916.19 432.415560722879 -8.31857015693669 1.1224924871788 -7.41080252380489 1.2553739945676e-13 1.59337152449738e-11
ENSG00000107862.4 284.845456137097 -7.98395421552839 1.07809723694315 -7.40559751193331 1.30561260732312e-13 1.61621945847271e-11
ENSG00000165527.6 398.599053893717 -8.73827578156664 1.17983711661902 -7.40634080626935 1.29831925468497e-13 1.61621945847271e-11
ENSG00000119596.17 369.368674407519 -8.23005808994818 1.11199221435479 -7.40118319508514 1.34976368208919e-13 1.65049761467174e-11
ENSG00000137509.10 382.108069326917 -8.41024440939515 1.13736361716659 -7.39450803811261 1.41932769941079e-13 1.7146504628906e-11
ENSG00000168906.12 685.227267249512 -8.3514844483291 1.13077855823825 -7.38560559667906 1.51761035488451e-13 1.81155702719369e-11
ENSG00000118217.5 248.932421534598 -8.16901097465258 1.10811742671171 -7.37197229980742 1.6812195554263e-13 1.98324570379524e-11
ENSG00000146247.13 194.450722766207 -8.50185189777943 1.15564453236708 -7.35680536675519 1.88363681255562e-13 2.19618910691805e-11
ENSG00000150347.14 143.37272187969 -9.01232795340533 1.22697074664337 -7.3451856762359 2.05473656729235e-13 2.36814293795867e-11
ENSG00000118816.9 395.670144461817 -3.71518317595717 0.505961382140178 -7.34281964414404 2.09140271766254e-13 2.38301080113662e-11
ENSG00000055130.15 424.657247245993 -8.15502938285561 1.11392897815188 -7.32095990211655 2.4620340560965e-13 2.77379949218872e-11
ENSG00000119655.9 413.808971665062 -8.36617699021259 1.14310175120591 -7.31883839858238 2.50126586944945e-13 2.78668809699663e-11
ENSG00000090989.17 257.369608066972 -8.06640860424993 1.10281750509457 -7.3143639514121 2.58603361471978e-13 2.84946802799947e-11
ENSG00000121691.4 253.116769613653 -8.14074629771467 1.11340426945974 -7.31158171475743 2.64015888122846e-13 2.85106004184911e-11
ENSG00000150593.16 270.975925639236 -8.69687474120571 1.18950020977317 -7.31136881671011 2.64434610443769e-13 2.85106004184911e-11
ENSG00000137812.19 343.119515319582 -9.08770851976213 1.2443152245539 -7.3033812818775 2.80624487538143e-13 2.99342737930315e-11
ENSG00000162408.10 264.402804472833 -8.40953585574945 1.1520173839371 -7.29983416310028 2.88122628993737e-13 3.01210153716656e-11
ENSG00000185567.6 499.223417265385 -8.48735173247571 1.16269670181269 -7.29971257271445 2.88383113162451e-13 3.01210153716656e-11
ENSG00000197324.8 460.733173563732 -8.06959133870855 1.10654382196331 -7.29260891303057 3.04009624140978e-13 3.14258196006349e-11
ENSG00000037474.14 564.430282151208 -8.59571921143197 1.18115826708946 -7.27736447429102 3.40404686378678e-13 3.48289570440715e-11
ENSG00000166441.12 476.768956213005 -8.21613048027612 1.12980869399003 -7.27214308402963 3.53828512139078e-13 3.58367524365509e-11
ENSG00000064419.13 369.767973125032 -8.46297160406814 1.16825113364554 -7.24413729234684 4.35200403356038e-13 4.34584588031431e-11
ENSG00000144224.16 233.403577464218 -8.11005176666912 1.11965545472795 -7.2433459171953 4.37748512926842e-13 4.34584588031431e-11
ENSG00000109805.9 373.522264956372 -8.71641701304186 1.2039378305461 -7.23992285306637 4.48940036725838e-13 4.41325661593135e-11
ENSG00000126088.13 362.43611741125 -7.95309747364113 1.10097106435603 -7.2237116225148 5.05874759260672e-13 4.89461810731748e-11
ENSG00000136504.11 150.762090328678 -8.01089689116643 1.10904631886073 -7.22323022486173 5.07669575307687e-13 4.89461810731748e-11
ENSG00000171634.16 561.56316879489 -2.71556010224619 0.376635626529067 -7.21004576033281 5.59330771827039e-13 5.34134252296164e-11
ENSG00000134900.11 199.515774686464 -8.03766053061614 1.1159284350925 -7.20266665662112 5.9046203605937e-13 5.58543663732765e-11
ENSG00000147155.10 293.431972073639 -8.31527095597709 1.1575920146062 -7.18324837339677 6.80742666765411e-13 6.37925861650166e-11
ENSG00000240857.1 131.181983023876 8.08134472569389 1.12529816026921 7.18151420754169 6.8943518014258e-13 6.40089495489782e-11
ENSG00000217128.11 142.234537044712 -8.61526938196559 1.20220830928074 -7.16620349024204 7.71061379642181e-13 7.09305729694693e-11
ENSG00000168785.7 366.799641550334 3.04813285348911 0.427323115162603 7.13308675644484 9.81426522498412e-13 8.9461488555378e-11
ENSG00000163946.13 381.156291203983 -7.83575166805301 1.10473933902066 -7.09285112902677 1.31376763137442e-12 1.18677009367489e-10
ENSG00000101158.13 364.411870802795 -7.96893900987334 1.12557079714304 -7.07990917150688 1.4424897490563e-12 1.29141470658817e-10
ENSG00000137807.13 379.793919856532 -8.63491406855226 1.22114924681781 -7.07113736593126 1.53668925699456e-12 1.36357373273314e-10
ENSG00000160007.17 282.214278884517 -7.62624109347178 1.08674270095898 -7.01752225871141 2.25837191340645e-12 1.98637676980057e-10
ENSG00000159184.7 573.940660731707 -8.51659389193888 1.21408927982961 -7.01480033917613 2.30277559156286e-12 2.00782007448703e-10
ENSG00000101346.12 186.771615419513 -7.88962122980202 1.1252005925711 -7.01174642271926 2.35361498835639e-12 2.03445668002151e-10
ENSG00000108064.10 232.900912410476 -7.81001768548589 1.11468999601133 -7.00644817252534 2.444440499396e-12 2.09490640063622e-10
ENSG00000090889.11 349.064734136191 -8.43165530513016 1.20407759323869 -7.00258467766262 2.51282913465194e-12 2.13526590958941e-10
ENSG00000116120.9 475.154737336843 -8.4388192108339 1.20960787728159 -6.97649161296707 3.02642397613134e-12 2.52983710668383e-10
ENSG00000140006.11 242.226943011751 -7.60707096274431 1.09039506455785 -6.97643561494744 3.02762992721711e-12 2.52983710668383e-10
ENSG00000134755.14 170.058306794226 -8.08698042827668 1.16054583626479 -6.96825594954919 3.20894040113336e-12 2.65917730596399e-10
