gene	SRX118286_cnt	SRX118292_cnt	SRX118290_cnt	SRX118296_cnt
ENSG00000058799.13	13	94	43	68
ENSG00000137275.13	103	411	112	0
ENSG00000067533.5	361	1021	364	0
ENSG00000253910.2	130	0	158	0
ENSG00000160299.16	122	0	0	34
ENSG00000112335.14	303	733	342	564
ENSG00000138750.14	131	367	0	352
ENSG00000280670.2	0	12	5	0
ENSG00000086015.20	31	120	0	195
ENSG00000101457.12	229	730	0	1037
ENSG00000046604.12	311	1193	0	0
ENSG00000155858.5	17	61	0	0
ENSG00000134709.10	15	43	9	62
ENSG00000125447.16	64	338	30	203
ENSG00000100003.17	35	113	26	70
ENSG00000260861.6	8	0	0	0
ENSG00000182899.14	1010	3566	379	1941
ENSG00000177311.11	14	14	61	87
ENSG00000156140.9	16	66	17	0
ENSG00000119685.19	44	229	57	63
ENSG00000144560.13	48	70	0	26
ENSG00000161057.10	647	2160	755	0
ENSG00000160439.15	0	15	0	0
ENSG00000187720.14	40	235	69	0
ENSG00000132182.11	111	1007	123	0
ENSG00000028116.16	69	362	87	0
ENSG00000071994.10	48	70	56	17
ENSG00000139645.9	100	503	0	0
ENSG00000054965.10	45	202	0	235
ENSG00000090621.13	211	675	14	165
ENSG00000196782.12	14	0	30	21
ENSG00000205758.11	70	383	72	475
ENSG00000168701.18	37	197	51	202
ENSG00000196363.9	66	234	83	222
ENSG00000154001.13	423	1681	665	2076
ENSG00000147121.15	35	34	27	98
ENSG00000264813.6	0	15	0	0
ENSG00000275111.4	21	69	25	95
ENSG00000112167.9	7	0	27	24
ENSG00000170291.14	9	244	15	286
ENSG00000163535.17	342	1971	112	2072
ENSG00000114554.11	48	142	0	0
ENSG00000121064.12	240	802	71	433
ENSG00000119917.13	236	277	342	797
ENSG00000075618.17	741	2331	806	0
ENSG00000108679.12	744	1501	1295	461
ENSG00000161904.11	48	98	67	111
ENSG00000164070.11	125	677	111	543
ENSG00000179029.14	0	16	10	0
ENSG00000187800.13	0	15	0	0
ENSG00000132821.11	8	0	0	10
ENSG00000181744.8	52	15	54	0
ENSG00000097046.12	81	267	0	318
ENSG00000185219.16	48	253	65	0
ENSG00000117676.13	90	397	21	123
ENSG00000126746.17	36	93	37	144
ENSG00000122641.10	34	167	77	393
ENSG00000126249.7	33	166	31	0
ENSG00000186376.14	0	0	0	18
ENSG00000119699.7	11	40	16	21
ENSG00000163191.5	1157	3222	1581	3984
ENSG00000105669.13	347	1083	569	1119
ENSG00000178177.15	31	63	22	0
ENSG00000155256.17	20	0	23	32
ENSG00000148303.16	55	256	35	52
ENSG00000026036.21	18	0	0	0
ENSG00000104936.17	0	0	5	0
ENSG00000143742.12	5	0	11	36
ENSG00000240303.7	12	76	0	43
ENSG00000123213.22	70	221	83	370
ENSG00000102978.12	140	504	175	422
ENSG00000123095.5	77	225	0	0
ENSG00000180263.13	40	159	0	316
ENSG00000076258.9	0	13	0	0
ENSG00000130559.18	30	116	50	100
ENSG00000151503.12	298	1655	95	1131
ENSG00000115355.15	125	539	7	670
ENSG00000196083.9	17	59	5	0
ENSG00000145216.15	287	742	272	707
ENSG00000169718.17	22	76	0	121
ENSG00000100288.19	0	24	0	38
