gene	SRX118285_cnt	SRX118291_cnt	SRX118287_cnt	SRX118293_cnt
ENSG00000283619.1	17	36	11	22
ENSG00000183775.10	3	2	0	0
ENSG00000097046.12	225	209	217	128
ENSG00000147854.16	540	677	562	452
ENSG00000164749.11	22	25	40	3
ENSG00000179002.5	0	0	0	0
ENSG00000164736.5	0	0	0	0
ENSG00000115758.12	5959	14264	5880	11604
ENSG00000147262.3	0	0	1	0
ENSG00000112992.16	154	264	157	167
ENSG00000241945.7	0	0	0	0
ENSG00000136986.9	648	852	697	597
ENSG00000221938.3	0	0	0	0
ENSG00000011275.18	489	456	423	320
ENSG00000162729.13	341	208	295	150
ENSG00000182180.13	1296	1544	1203	1235
ENSG00000140332.15	372	371	336	309
ENSG00000153936.16	144	153	141	100
ENSG00000166927.12	0	0	0	0
ENSG00000100139.13	268	258	226	236
ENSG00000103769.9	567	676	504	420
ENSG00000007047.14	177	179	155	127
ENSG00000139323.13	244	398	227	284
ENSG00000157315.4	5	0	2	2
ENSG00000279152.1	0	0	1	0
ENSG00000151914.19	1388	875	1891	745
ENSG00000203733.5	0	0	0	0
ENSG00000135074.15	373	525	358	385
ENSG00000232216.1	0	0	0	0
ENSG00000099814.15	835	474	629	375
ENSG00000133111.3	22	13	19	14
ENSG00000178074.5	142	180	128	91
ENSG00000198947.15	5	22	7	15
ENSG00000149016.15	312	268	264	203
ENSG00000205413.7	459	78	713	51
ENSG00000203760.8	286	162	233	128
ENSG00000115109.13	41	82	28	41
ENSG00000051382.8	286	359	293	264
ENSG00000078618.20	2757	2709	2448	2036
ENSG00000138801.8	452	489	481	324
ENSG00000114841.17	17	27	15	20
ENSG00000180205.3	0	0	0	0
ENSG00000178804.7	0	0	0	0
ENSG00000249967.1	139	170	149	126
ENSG00000181652.18	0	1	1	0
ENSG00000241935.8	1	0	0	0
ENSG00000165259.13	35	57	38	32
ENSG00000185482.7	5	4	1	7
ENSG00000103740.9	0	0	0	0
ENSG00000115286.19	321	429	257	262
ENSG00000162407.8	567	421	576	353
ENSG00000189375.10	0	0	0	0
ENSG00000129667.12	331	299	260	180
ENSG00000167085.11	1248	1441	1218	873
ENSG00000236334.2	0	1	0	0
ENSG00000080007.7	1	0	0	0
ENSG00000095794.19	783	732	752	492
ENSG00000141968.7	5	0	1	1
ENSG00000134042.12	0	0	0	0
ENSG00000262621.4	38	20	21	27
ENSG00000109079.9	157	96	141	93
ENSG00000149634.4	9	4	12	1
ENSG00000105063.18	2830	2991	2330	1903
ENSG00000152484.13	180	210	187	162
ENSG00000090674.15	427	496	338	312
ENSG00000139182.13	130	160	113	107
ENSG00000178750.2	5	0	0	1
ENSG00000092377.13	0	0	0	0
ENSG00000127529.7	0	0	0	0
ENSG00000173421.16	0	0	0	2
ENSG00000261603.1	0	0	0	0
ENSG00000160282.13	3	5	2	4
ENSG00000170956.16	0	0	0	0
ENSG00000138759.17	113	107	131	71
ENSG00000272414.5	14	14	3	1
ENSG00000273590.4	0	0	0	0
ENSG00000104611.11	108	93	100	59
ENSG00000108506.11	354	317	402	219
ENSG00000151239.13	222	155	212	104
ENSG00000007264.14	0	0	0	0
ENSG00000095970.16	0	0	0	0
ENSG00000124523.15	86	67	98	48
ENSG00000134333.13	14076	10069	13317	7429
ENSG00000145545.11	42	37	31	31
ENSG00000164690.7	15	3	21	0
ENSG00000179178.10	0	0	1	0
ENSG00000198183.11	0	0	0	0
ENSG00000080618.13	0	0	0	0
ENSG00000133026.12	484	352	409	239
ENSG00000101222.12	1	1	1	0
ENSG00000110048.11	517	517	471	430
ENSG00000143595.12	0	0	0	0
ENSG00000163875.15	284	268	268	172
ENSG00000054793.13	306	385	421	305
ENSG00000255835.1	250	233	227	152
ENSG00000142661.18	0	0	1	0
ENSG00000177954.11	4	4	5	1
ENSG00000105767.2	79	70	70	43
ENSG00000241233.3	0	0	0	0
ENSG00000166887.15	731	639	780	480
ENSG00000082293.12	0	0	0	0
ENSG00000108231.12	0	0	0	0
ENSG00000111450.13	213	240	192	147
ENSG00000095319.14	1028	1015	852	689
ENSG00000015285.10	5	7	8	11
ENSG00000196337.11	0	0	0	0
ENSG00000125885.13	750	836	691	574
ENSG00000064652.10	40	49	38	43
ENSG00000163545.8	20	17	16	6
ENSG00000223496.2	128	55	96	15
ENSG00000214700.5	0	0	0	0
ENSG00000138684.7	0	0	0	0
ENSG00000091073.19	15	14	22	30
ENSG00000130758.7	108	88	100	48
ENSG00000149182.14	318	297	256	227
ENSG00000205560.12	87	64	62	55
ENSG00000171951.4	4	6	4	0
ENSG00000077080.9	0	0	1	0
ENSG00000144567.10	630	647	678	579
ENSG00000043143.20	328	637	329	485
ENSG00000213782.7	594	504	508	290
ENSG00000082512.14	66	44	49	20
ENSG00000198910.12	64	60	50	27
ENSG00000271723.5	29	40	21	9
ENSG00000174891.12	141	126	139	93
ENSG00000131778.17	1745	1439	1556	920
ENSG00000095002.13	1284	1543	1128	900
ENSG00000122729.18	453	532	388	406
ENSG00000118113.11	0	0	0	0
ENSG00000241128.1	0	0	0	0
ENSG00000196757.7	258	273	199	194
ENSG00000188817.7	0	0	0	0
ENSG00000264813.6	12	24	12	19
ENSG00000105854.12	977	888	970	655
ENSG00000146215.13	0	1	1	0
ENSG00000008516.16	0	0	1	0
ENSG00000095627.9	0	0	0	0
ENSG00000169469.8	0	0	0	0
ENSG00000144642.21	21	19	15	8
ENSG00000130479.10	434	339	328	251
ENSG00000176641.10	0	6	0	2
ENSG00000019102.11	1	0	0	0
ENSG00000237289.9	2	3	2	3
ENSG00000118094.11	0	0	0	0
ENSG00000157211.11	0	0	0	0
ENSG00000144644.14	0	0	2	0
ENSG00000204161.13	0	0	0	0
ENSG00000100241.20	816	799	700	632
ENSG00000134115.12	0	0	0	0
ENSG00000262246.5	22	17	6	3
ENSG00000163071.10	1	0	0	0
ENSG00000173818.16	194	160	177	125
ENSG00000150316.11	774	674	603	418
ENSG00000219438.8	0	0	0	0
ENSG00000162777.16	7	12	4	0
ENSG00000102226.9	920	636	842	660
ENSG00000153140.8	334	438	339	261
ENSG00000104365.13	174	160	198	85
ENSG00000213654.9	4	1	1	2
ENSG00000071082.10	857	1457	600	587
ENSG00000177201.1	0	0	0	0
ENSG00000255012.1	0	0	0	0
ENSG00000167985.6	359	406	288	247
ENSG00000010539.11	77	72	61	39
ENSG00000188283.11	55	49	64	43
ENSG00000008226.19	1	0	0	0
ENSG00000107829.13	139	97	131	83
ENSG00000169635.9	19	21	13	10
ENSG00000032219.18	531	441	541	349
ENSG00000157741.14	93	87	119	102
ENSG00000120057.4	0	0	1	0
ENSG00000146950.12	10	31	22	50
ENSG00000213397.10	305	264	234	162
ENSG00000177666.16	799	622	665	491
ENSG00000182107.6	54	30	58	38
ENSG00000188554.13	511	473	666	610
ENSG00000182809.10	633	741	525	535
ENSG00000168803.14	82	73	98	100
ENSG00000123810.7	23	22	23	10
ENSG00000025434.18	48	45	32	24
ENSG00000115290.9	0	2	0	0
ENSG00000124198.8	626	524	693	434
ENSG00000197992.6	0	0	0	0
ENSG00000099250.17	5773	4441	5898	2952
ENSG00000122420.9	130	73	129	37
ENSG00000162928.8	195	179	137	107
ENSG00000108107.13	3499	3518	2749	3581
ENSG00000171060.10	0	0	0	0
ENSG00000249624.8	169	281	177	242
ENSG00000182379.9	25	34	24	44
ENSG00000178031.16	0	0	0	1
ENSG00000144583.4	20	3	21	5
ENSG00000173285.3	0	0	0	0
ENSG00000138398.15	695	598	587	303
ENSG00000142538.1	0	0	0	0
ENSG00000204311.12	20	10	11	6
ENSG00000279983.1	0	0	0	0
ENSG00000241794.1	0	0	0	0
ENSG00000266074.8	360	185	276	128
ENSG00000008513.14	563	586	570	476
ENSG00000006118.14	337	236	288	163
ENSG00000267110.1	58	58	44	48
ENSG00000138587.5	66	43	46	31
ENSG00000198382.8	177	255	164	177
ENSG00000106299.7	279	264	259	232
ENSG00000158014.14	0	0	0	0
ENSG00000168672.3	112	208	95	112
ENSG00000154721.14	1	0	4	0
ENSG00000227345.8	383	499	336	303
ENSG00000214128.10	0	0	0	0
ENSG00000100991.11	1223	1204	1076	896
ENSG00000250821.2	0	0	0	0
ENSG00000100105.17	381	379	284	236
ENSG00000164494.11	75	79	77	50
ENSG00000155093.17	67	67	52	33
ENSG00000075651.15	66	183	95	146
ENSG00000104983.8	40	37	25	18
ENSG00000145911.5	1	2	3	1
ENSG00000116984.12	155	88	183	82
ENSG00000053900.10	248	288	187	156
ENSG00000102981.9	94	85	54	75
ENSG00000006007.11	683	559	713	431
ENSG00000177125.5	20	16	22	24
ENSG00000159184.7	1639	2122	1432	1568
ENSG00000174151.14	18	14	32	22
ENSG00000238210.3	0	0	0	0
ENSG00000229549.8	0	0	0	0
ENSG00000104921.14	0	1	0	0
ENSG00000049860.13	748	936	745	581
ENSG00000115275.11	516	484	457	270
ENSG00000154832.14	344	329	231	242
ENSG00000152689.17	11	2	7	2
ENSG00000080839.11	293	276	387	199
ENSG00000129003.15	178	217	189	144
ENSG00000131023.12	138	112	156	123
ENSG00000172058.15	0	0	0	0
ENSG00000104870.12	558	433	464	333
ENSG00000197084.5	0	0	0	0
ENSG00000135315.11	86	51	75	19
ENSG00000198169.8	14	9	9	9
ENSG00000167476.10	3	1	0	0
ENSG00000196734.8	0	0	0	0
ENSG00000165973.18	0	0	1	2
ENSG00000198695.2	2900	3583	4590	3108
ENSG00000131626.16	696	753	627	377
ENSG00000180332.6	0	0	0	0
ENSG00000166289.5	35	12	16	5
ENSG00000131931.8	73	76	53	54
ENSG00000116221.15	1217	1397	1047	1137
ENSG00000132182.11	684	1388	668	1044
ENSG00000253910.2	227	166	254	105
ENSG00000273217.1	162	260	204	138
ENSG00000065802.11	196	241	188	131
ENSG00000177105.9	253	208	185	143
ENSG00000174607.10	101	80	96	57
ENSG00000197816.13	18	16	13	7
ENSG00000159082.17	171	265	135	143
ENSG00000166800.9	0	0	0	1
ENSG00000187955.11	0	0	0	1
ENSG00000005175.9	496	692	423	371
ENSG00000145075.11	1	2	6	0
ENSG00000279116.2	0	0	0	0
ENSG00000085382.11	79	89	112	59
ENSG00000121753.12	147	117	146	104
ENSG00000274611.3	0	0	0	0
ENSG00000169418.9	11	0	1	2
ENSG00000196653.11	0	1	0	0
ENSG00000090971.4	83	49	77	45
ENSG00000167861.15	216	232	159	101
ENSG00000175556.16	145	200	100	91
ENSG00000173214.5	41	31	31	18
ENSG00000198743.6	231	329	345	288
ENSG00000187187.13	12	29	27	25
ENSG00000188620.9	0	1	0	0
ENSG00000143344.15	32	30	38	10
ENSG00000267534.2	26	17	17	13
ENSG00000212128.2	0	0	0	0
ENSG00000187531.13	241	128	131	69
ENSG00000167281.18	0	0	0	0
ENSG00000121351.7	0	0	0	0
ENSG00000107404.18	1995	1825	1607	1044
ENSG00000138835.22	76	167	48	81
ENSG00000152193.7	166	185	194	79
ENSG00000224531.5	46	33	40	27
ENSG00000257743.8	0	0	0	0
ENSG00000163481.7	345	407	223	193
ENSG00000253797.2	91	107	90	57
ENSG00000054965.10	61	55	53	47
ENSG00000128731.15	267	276	192	118
ENSG00000196169.14	0	0	0	0
ENSG00000241878.10	241	165	133	98
ENSG00000162702.7	374	331	354	271
ENSG00000204913.5	0	0	0	0
ENSG00000160445.10	284	276	248	217
ENSG00000198756.10	11	7	12	5
ENSG00000179091.4	3563	5227	3077	3752
ENSG00000136688.10	0	0	0	0
ENSG00000167617.2	0	0	0	0
ENSG00000172572.6	92	171	103	151
ENSG00000184743.12	457	476	446	445
ENSG00000064225.12	122	180	103	92
ENSG00000136048.13	43	49	48	44
ENSG00000158467.16	74	128	83	75
ENSG00000167323.10	348	389	373	306
ENSG00000152443.12	117	109	143	84
ENSG00000198265.11	532	471	534	304
ENSG00000125388.19	14	17	14	14
ENSG00000186300.11	46	80	41	65
ENSG00000011052.21	8940	10444	7700	7468
ENSG00000163521.15	35	30	33	46
ENSG00000101323.4	0	0	0	0
ENSG00000157557.11	280	262	257	178
ENSG00000257411.1	226	427	193	241
ENSG00000073331.17	59	48	53	42
ENSG00000102239.4	1	0	0	0
ENSG00000237353.6	0	0	0	0
ENSG00000117139.16	673	535	765	549
ENSG00000170627.10	19	0	12	0
ENSG00000283241.1	145	123	188	62
ENSG00000112246.9	1	0	0	0
ENSG00000197870.12	0	0	0	0
ENSG00000117859.18	307	333	338	265
ENSG00000172336.4	366	359	241	208
ENSG00000273154.3	427	316	294	197
ENSG00000153531.13	46	47	62	54
ENSG00000176022.4	381	266	341	139
ENSG00000113924.11	0	0	2	1
ENSG00000204540.10	0	0	0	0
ENSG00000174982.2	0	0	0	0
ENSG00000126337.13	2	0	1	0
ENSG00000164265.8	1	0	0	0
ENSG00000170605.5	0	0	0	0
ENSG00000099256.18	50	66	51	34
ENSG00000242389.8	0	0	0	0
ENSG00000276289.4	0	0	0	0
ENSG00000164920.9	7	10	3	5
ENSG00000203778.7	35	36	43	30
ENSG00000139641.12	1440	1933	1300	1390
ENSG00000164877.18	181	170	145	78
ENSG00000280987.3	2145	2355	2197	1614
ENSG00000198570.5	0	0	0	0
ENSG00000091640.7	204	205	203	152
ENSG00000138755.5	0	0	0	0
ENSG00000170255.7	0	0	0	0
ENSG00000164144.15	107	140	109	69
ENSG00000214102.7	0	0	0	0
ENSG00000101342.9	0	0	0	0
ENSG00000166225.8	66	77	94	59
ENSG00000158042.8	974	802	724	548
ENSG00000144550.12	0	0	1	0
ENSG00000278619.4	1	4	3	2
ENSG00000180785.8	0	0	0	0
ENSG00000117713.18	1309	1228	1233	939
ENSG00000138823.13	3	0	2	0
ENSG00000154262.12	0	0	0	1
ENSG00000198105.12	743	606	743	478
ENSG00000170892.10	56	52	29	23
ENSG00000204979.7	0	0	0	0
ENSG00000186854.10	3	7	4	4
ENSG00000158186.12	4	9	16	7
ENSG00000162877.12	0	1	0	0
ENSG00000166579.15	240	241	203	120
ENSG00000106771.12	435	374	491	323
ENSG00000116857.16	1173	1049	1035	682
ENSG00000063854.12	414	284	367	209
ENSG00000196350.8	0	0	1	0
ENSG00000198830.10	362	146	370	192
ENSG00000173812.10	1246	1338	1243	1222
ENSG00000061273.17	694	641	493	356
ENSG00000108828.15	500	609	537	589
ENSG00000108786.10	4	7	7	2
ENSG00000058866.14	26	27	19	15
ENSG00000105220.14	2058	1634	1573	1477
ENSG00000141448.8	39	12	55	11
ENSG00000143105.7	0	0	0	0
ENSG00000183389.4	0	0	0	0
ENSG00000138385.15	863	881	805	428
ENSG00000090659.17	0	0	0	0
ENSG00000139133.6	24	24	34	35
ENSG00000106992.17	306	330	276	253
ENSG00000125975.13	0	0	0	0
ENSG00000100580.7	47	39	55	19
ENSG00000085721.12	30	21	29	7
ENSG00000248713.1	0	0	0	0
ENSG00000205186.2	0	0	0	0
ENSG00000203734.11	0	0	1	0
ENSG00000185155.11	0	0	0	0
ENSG00000188994.12	387	199	502	135
ENSG00000141437.8	0	0	0	0
ENSG00000215845.10	0	4	0	3
ENSG00000215717.5	61	31	49	22
ENSG00000166159.10	0	1	0	0
ENSG00000117407.16	11	11	12	5
ENSG00000148943.11	124	96	112	56
ENSG00000203970.3	0	0	0	0
ENSG00000108622.10	2	0	3	1
ENSG00000211821.2	0	0	0	0
ENSG00000211680.2	0	0	0	0
ENSG00000167193.7	51	21	44	20
ENSG00000110713.15	1227	1663	1045	1096
ENSG00000206172.8	0	0	0	0
ENSG00000139505.11	166	210	173	160
ENSG00000108091.10	308	404	297	277
ENSG00000161249.20	196	395	192	301
ENSG00000005020.12	121	88	120	88
ENSG00000264343.5	0	0	0	0
ENSG00000132912.12	375	452	412	358
ENSG00000167377.17	233	220	211	137
ENSG00000113600.10	0	0	1	0
ENSG00000204688.9	0	0	0	0
ENSG00000180398.11	218	226	215	162
ENSG00000146281.5	120	87	155	78
ENSG00000211782.2	0	0	0	0
ENSG00000101958.13	0	0	1	0
ENSG00000104763.18	480	570	540	393
ENSG00000071282.11	5	6	4	7
ENSG00000182362.13	126	252	123	158
ENSG00000119650.12	150	134	125	78
ENSG00000071205.11	59	65	37	47
ENSG00000242950.6	0	0	0	0
ENSG00000170619.9	420	409	284	236
ENSG00000184194.5	66	24	43	26
ENSG00000205795.4	0	0	0	0
ENSG00000089472.16	4	8	6	1
ENSG00000166263.13	83	117	77	63
ENSG00000128713.12	0	0	2	0
ENSG00000003436.14	189	223	308	307
ENSG00000120645.11	0	0	0	0
ENSG00000084463.7	313	414	300	255
ENSG00000204950.3	0	0	0	0
ENSG00000111348.8	48	10	44	12
ENSG00000120708.16	13	8	20	2
ENSG00000174405.13	138	110	115	50
ENSG00000253304.1	33	12	24	9
ENSG00000106603.17	333	319	339	289
ENSG00000108474.16	74	87	50	44
ENSG00000148513.17	1	0	5	0
ENSG00000279745.1	0	0	0	0
ENSG00000009790.14	0	0	0	0
