gene	SRX118286_cnt	SRX118292_cnt	SRX118288_cnt	SRX118294_cnt
ENSG00000100441.9	24	58	36	50
ENSG00000215455.4	0	0	0	0
ENSG00000070831.15	164	606	232	454
ENSG00000105607.12	35	194	69	127
ENSG00000187715.13	0	0	0	0
ENSG00000176978.13	27	136	47	121
ENSG00000105281.12	254	650	292	508
ENSG00000204683.10	0	0	0	0
ENSG00000006116.3	0	0	0	0
ENSG00000264230.7	0	0	0	0
ENSG00000140326.12	56	143	71	129
ENSG00000175198.15	52	167	35	107
ENSG00000155760.2	2	8	4	0
ENSG00000119383.19	178	695	311	575
ENSG00000180767.9	0	0	0	0
ENSG00000155380.11	846	2822	905	1383
ENSG00000176605.7	0	0	0	0
ENSG00000065665.20	21	75	33	73
ENSG00000183844.16	0	0	0	0
ENSG00000004799.7	3	34	2	43
ENSG00000003402.19	48	201	49	145
ENSG00000082805.19	63	303	72	176
ENSG00000148331.11	31	112	37	100
ENSG00000163818.16	48	177	70	157
ENSG00000110841.13	185	703	192	506
ENSG00000239900.12	238	907	247	585
ENSG00000007264.14	0	1	0	0
ENSG00000112297.14	115	323	144	166
ENSG00000171711.2	0	0	0	0
ENSG00000169032.9	132	424	165	361
ENSG00000162069.14	1	0	0	0
ENSG00000135973.2	0	0	0	0
ENSG00000176087.14	59	204	69	162
ENSG00000105613.9	7	46	12	32
ENSG00000171051.8	0	0	0	0
ENSG00000211899.9	0	0	0	0
ENSG00000166869.2	0	0	0	0
ENSG00000279084.1	0	0	0	0
ENSG00000111077.17	29	42	28	49
ENSG00000141433.12	0	0	0	0
ENSG00000185915.5	0	0	0	0
ENSG00000106636.7	168	477	290	300
ENSG00000205362.11	0	0	0	0
ENSG00000197183.13	18	47	18	28
ENSG00000257103.8	9	34	19	33
ENSG00000081479.12	0	0	0	0
ENSG00000164309.14	0	0	0	0
ENSG00000051128.18	60	194	89	90
ENSG00000196917.5	7	10	4	0
ENSG00000101230.5	1	1	0	0
ENSG00000175416.12	247	1016	404	873
ENSG00000178226.10	1	2	0	3
ENSG00000270033.1	0	0	0	0
ENSG00000269713.7	1	4	1	0
ENSG00000173825.6	2	3	1	1
ENSG00000198854.5	1	0	0	0
ENSG00000180914.10	26	140	51	169
ENSG00000133401.15	10	28	9	21
ENSG00000204435.13	52	192	63	155
ENSG00000279483.1	0	1	0	0
ENSG00000102158.19	245	1257	306	732
ENSG00000100906.10	152	329	180	140
ENSG00000197417.7	28	203	38	103
ENSG00000086991.12	0	0	0	0
ENSG00000172893.15	213	1157	269	893
ENSG00000062282.14	22	108	53	68
ENSG00000127527.13	141	489	165	277
ENSG00000040341.17	73	393	93	143
ENSG00000211660.3	0	0	0	0
ENSG00000176148.15	23	99	32	29
ENSG00000237110.2	0	0	0	0
ENSG00000196150.13	43	140	54	106
ENSG00000068394.10	80	345	108	220
ENSG00000077009.13	0	0	0	0
ENSG00000133704.9	179	664	169	230
ENSG00000149485.17	112	609	207	557
ENSG00000170426.1	0	0	0	0
ENSG00000198643.6	0	0	0	0
ENSG00000089775.11	75	201	104	176
ENSG00000141295.13	20	96	37	97
ENSG00000178342.4	0	0	0	0
ENSG00000140450.8	10	19	12	10
ENSG00000213676.10	8	39	9	39
ENSG00000100567.12	3265	8728	3383	4564
ENSG00000064199.6	45	95	34	81
ENSG00000188089.13	0	0	0	0
ENSG00000176979.12	0	0	0	0
ENSG00000099822.2	0	0	0	0
ENSG00000166220.12	0	2	0	0
